id,ycoord,xcoord,,id,ycoord,,,id,ycoord,xcoord
3,2.47037,102.391,,2,2.46934,102.39168,,1,2.4698,102.39217
3,2.47033,102.39103,,2,2.46927,102.39172,,1,2.4698,102.39225
3,2.47033,102.3911,,2,2.4692,102.39168,,1,2.46973,102.39221
3,2.47026,102.39107,,2,2.4692,102.39176,,1,2.46973,102.39229
3,2.47026,102.39114,,2,2.46914,102.39172,,1,2.4698,102.39232
3,2.47019,102.3911,,2,2.46914,102.3918,,1,2.46973,102.39236
3,2.47019,102.39118,,2,2.46907,102.39176,,1,2.46966,102.3924
3,2.47013,102.39114,,2,2.46907,102.39184,,1,2.46966,102.39233
3,2.47013,102.39122,,2,2.469,102.3918,,1,2.46966,102.39225
3,2.47006,102.39118,,2,2.46901,102.39188,,1,2.4696,102.39229
3,2.47006,102.39126,,2,2.469,102.39203,,1,2.4696,102.39237
3,2.47,102.39122,,2,2.46901,102.39195,,1,2.4696,102.39244
3,2.47,102.3913,,2,2.46907,102.39199,,1,2.46953,102.39248
3,2.46993,102.39133,,2,2.46907,102.39191,,1,2.46953,102.3924
3,2.46993,102.39126,,2,2.46914,102.39195,,1,2.46954,102.39233
3,2.46987,102.3913,,2,2.46914,102.39187,,1,2.46947,102.39237
3,2.46987,102.39137,,2,2.46921,102.39191,,1,2.46947,102.39244
3,2.4698,102.39134,,2,2.4692,102.39183,,1,2.46947,102.39252
3,2.4698,102.39141,,2,2.46927,102.39187,,1,2.4694,102.39256
3,2.46973,102.39145,,2,2.46927,102.39179,,1,2.4694,102.39248
3,2.46973,102.39137,,2,2.46933,102.39183,,1,2.4694,102.39241
3,2.46967,102.39141,,2,2.46934,102.39176,,1,2.46934,102.39244
3,2.4698,102.39149,,2,2.4694,102.3918,,1,2.46933,102.39252
3,2.46986,102.39145,,2,2.4694,102.39172,,1,2.46934,102.3926
3,2.46993,102.39141,,2,2.46947,102.39176,,1,2.46927,102.39249
3,2.47,102.39137,,2,2.46947,102.39168,,1,2.46934,102.39267
3,2.47006,102.39133,,2,2.46947,102.39183,,1,2.4694,102.39271
3,2.47013,102.39129,,2,2.46947,102.39191,,1,2.4694,102.39264
3,2.4702,102.39126,,2,2.4694,102.39187,,1,2.46947,102.39267
3,2.4696,102.39122,,2,2.4694,102.39195,,1,2.46947,102.3926
3,2.4696,102.3913,,2,2.46934,102.39191,,1,2.46953,102.39256
3,2.4696,102.39137,,2,2.46934,102.39199,,1,2.46953,102.39264
3,2.46987,102.39099,,2,2.46927,102.39195,,1,2.4696,102.39252
3,2.46987,102.39107,,2,2.46927,102.39203,,1,2.4696,102.3926
3,2.46986,102.39114,,2,2.4692,102.39199,,1,2.46966,102.39248
3,2.46986,102.39122,,2,2.4692,102.39206,,1,2.46967,102.39256
3,2.4698,102.39126,,2,2.46914,102.3921,,1,2.46973,102.39252
3,2.4698,102.39118,,2,2.46914,102.39203,,1,2.46973,102.39244
3,2.4698,102.39111,,2,2.46907,102.39207,,1,2.4698,102.3924
3,2.4698,102.39103,,2,2.46907,102.39214,,1,2.4698,102.39248
3,2.46973,102.39107,,2,2.46901,102.3921,,1,2.46947,102.39275
3,2.46973,102.3913,,2,2.46901,102.39218,,1,2.4698,102.39255
3,2.46973,102.39123,,2,2.46901,102.39233,,1,2.4698,102.39263
3,2.46973,102.39115,,2,2.46901,102.39241,,1,2.46973,102.39282
3,2.46966,102.39111,,2,2.46901,102.39248,,1,2.46973,102.39275
3,2.46966,102.39119,,2,2.46907,102.39244,,1,2.46973,102.39267
3,2.46966,102.39126,,2,2.46914,102.3924,,1,2.46973,102.39259
3,2.46967,102.39133,,2,2.46907,102.39237,,1,2.46967,102.39263
3,2.4702,102.39103,,2,2.46914,102.39233,,1,2.46967,102.39271
3,2.4702,102.39095,,2,2.46907,102.3923,,1,2.46967,102.39278
3,2.47026,102.39099,,2,2.46901,102.39226,,1,2.46967,102.39286
3,2.47026,102.39091,,2,2.46907,102.39222,,1,2.4696,102.3929
3,2.47025,102.39084,,2,2.46914,102.39225,,1,2.4696,102.39282
3,2.47019,102.39088,,2,2.46914,102.39218,,1,2.4696,102.39275
3,2.4702,102.3908,,2,2.46921,102.39236,,1,2.4696,102.39267
3,2.47013,102.39084,,2,2.4692,102.39229,,1,2.46953,102.39271
3,2.47013,102.39091,,2,2.4692,102.39222,,1,2.46953,102.39279
3,2.47013,102.39099,,2,2.4692,102.39214,,1,2.46953,102.39286
3,2.47013,102.39107,,2,2.46927,102.3921,,1,2.46953,102.39294
3,2.47006,102.3911,,2,2.46927,102.39226,,1,2.46947,102.39298
3,2.47006,102.39103,,2,2.46927,102.39233,,1,2.46947,102.3929
3,2.47006,102.39095,,2,2.46927,102.39218,,1,2.46947,102.39283
3,2.47007,102.39088,,2,2.46934,102.39229,,1,2.4694,102.39279
3,2.47,102.39092,,2,2.46934,102.39222,,1,2.4694,102.39286
3,2.47,102.39099,,2,2.46934,102.39214,,1,2.4694,102.39294
3,2.47,102.39106,,2,2.46934,102.39206,,1,2.46973,102.3929
3,2.47,102.39114,,2,2.4694,102.39202,,1,2.46973,102.39298
3,2.46993,102.39118,,2,2.4694,102.39218,,1,2.46966,102.39294
3,2.46993,102.3911,,2,2.4694,102.3921,,1,2.46966,102.39301
